"No","Latitude","Longitude","Name","Description","Notes","Symbol","Date","Time"
1718,14.58333,121.03333,"Mandaluyong","osm-id 198501313",,"City (Medium)",06/16/08,06:44:08 PM
5329,10.53333,125.11667,"Silago","osm-id 198491834",,"City (Medium)",01/18/08,01:25:33 PM
5295,10.36667,123.95000,"Consolacion","osm-id 198494287",,"City (Medium)",01/18/08,12:46:47 PM
3332,11.71363,122.29078,"Makato","osm-id 25747758",,"City (Medium)",01/29/09,03:55:00 AM
1739,14.58333,121.08333,"Pasig","osm-id 198525998",,"City (Medium)",06/16/08,06:42:37 PM
373,15.90000,120.80000,"Umingan","osm-id 198493307",,"City (Medium)",01/18/08,12:46:03 PM
5290,10.45623,124.00754,"Compostela","osm-id 198496384",,"City (Medium)",01/04/09,05:25:09 PM
5287,10.46667,123.78333,"Balamban","osm-id 198509240",,"City (Medium)",01/18/08,01:36:02 PM
3224,12.16667,122.01667,"Santa Fe","osm-id 198516296",,"City (Medium)",01/18/08,01:36:22 PM
3223,12.29820,122.06418,"Alcantara","osm-id 198525811",,"City (Medium)",10/13/08,01:22:35 PM
3236,12.38333,122.56667,"San Fernando","osm-id 198491717",,"City (Medium)",01/18/08,01:25:34 PM
5530,9.75000,123.85000,"Maribojoc","osm-id 198522332",,"City (Medium)",01/18/08,01:41:08 PM
197,17.70000,121.66667,"Solana","osm-id 198507858",,"City (Medium)",01/18/08,01:21:32 PM
4797,8.41370,123.59330,"Concepcion","osm-id 198527891",,"City (Medium)",02/12/08,02:29:10 PM
3248,12.48333,123.71667,"San Fernando","osm-id 198495316",,"City (Medium)",01/18/08,12:47:29 PM
10,20.45094,121.96949,"Basco","osm-id 198496785",,"City (Medium)",12/18/08,01:15:06 AM
237,16.96667,121.71667,"Luna","osm-id 198500848",,"City (Medium)",01/18/08,01:22:26 PM
5300,10.25000,123.95000,"Cordova","osm-id 198497604",,"City (Medium)",01/18/08,12:42:05 PM
3833,11.85000,124.91667,"Catbalogan","osm-id 198491056",,"City (Medium)",01/18/08,01:26:04 PM
3677,12.40000,125.06667,"Catubig","osm-id 198524681",,"City (Medium)",01/18/08,01:39:30 PM
2785,13.65161,123.16680,"Magarao","osm-id 198528025",,"City (Medium)",01/19/08,05:35:21 PM
5775,8.10250,124.16417,"Matungao","osm-id 198491672",,"City (Medium)",02/12/08,02:29:49 PM
3393,11.45000,122.76667,"Panitan","osm-id 198522987",,"City (Medium)",01/18/08,01:40:20 PM
4514,10.57761,123.22046,"Don Salvador Benedicto","osm-id 333551558",,"City (Medium)",01/29/09,03:54:40 AM
33,18.33333,120.76667,"Vintar","osm-id 198492742",,"City (Medium)",01/18/08,12:44:12 PM
1805,14.53588,120.99325,"Pasay","osm-id 255061219",,"City (Medium)",01/29/09,03:55:09 AM
5450,10.05860,125.16394,"San Francisco","osm-id 198524843",,"City (Medium)",07/12/08,06:13:34 AM
5478,10.00000,125.63333,"Cagdianao","osm-id 198499273",,"City (Medium)",01/18/08,12:42:25 PM
3320,11.76667,122.15000,"Ibajay","osm-id 198520485",,"City (Medium)",01/18/08,01:38:19 PM
3328,11.73333,122.21667,"Tangalan","osm-id 198491076",,"City (Medium)",01/18/08,01:26:31 PM
6329,4.86667,119.81667,"Simunul","osm-id 198509688",,"City (Medium)",12/31/07,12:45:48 PM
5442,10.35000,125.61667,"Loreto","osm-id 198518631",,"City (Medium)",01/18/08,01:38:37 PM
4398,11.13333,122.50000,"Calinog","osm-id 198522174",,"City (Medium)",01/18/08,01:41:04 PM
5436,10.30000,125.20000,"Anahawan","osm-id 198511441",,"City (Medium)",01/18/08,01:33:23 PM
5443,10.30000,125.56667,"Tubajon","osm-id 198504950",,"City (Medium)",01/18/08,12:47:50 PM
3324,11.77244,122.25744,"Tangalan","osm-id 25747766",,"City (Medium)",01/29/09,03:54:59 AM
3481,13.91667,124.28333,"Panganiban","osm-id 198497104",,"City (Medium)",01/18/08,12:41:04 PM
2477,14.20000,122.38333,"Santa Elena","osm-id 198498053",,"City (Medium)",01/18/08,12:41:41 PM
3321,11.75000,122.10000,"Pandan","osm-id 198495697",,"City (Medium)",01/18/08,12:47:40 PM
5882,7.46667,124.25000,"Matanog","osm-id 198524912",,"City (Medium)",01/18/08,01:39:25 PM
205,17.38333,121.15000,"Pasil","osm-id 198513955",,"City (Medium)",01/18/08,01:37:14 PM
5797,7.95000,124.06667,"Munai","osm-id 198505784",,"City (Medium)",01/18/08,12:48:40 PM
3343,11.58333,122.10000,"Sebaste","osm-id 198494097",,"City (Medium)",01/18/08,12:45:45 PM
4385,10.85000,121.98333,"Belison","osm-id 198509166",,"City (Medium)",01/18/08,01:35:54 PM
5479,9.98333,125.60000,"Dinagat","osm-id 198510241",,"City (Medium)",01/18/08,01:34:11 PM
5464,9.97768,125.22437,"Pintuyan","osm-id 198525186",,"City (Medium)",07/12/08,06:10:31 AM
4573,10.18333,123.20000,"Guihulngan","osm-id 198493441",,"City (Medium)",01/18/08,12:46:15 PM
5460,10.05000,125.50000,"Basilisa","osm-id 198529159",,"City (Medium)",01/18/08,01:31:06 PM
3339,11.66667,122.31667,"Lezo","osm-id 198502750",,"City (Medium)",01/18/08,01:23:42 PM
439,16.81667,121.66667,"Alicia","osm-id 198513614",,"City (Medium)",01/18/08,01:38:01 PM
5468,9.91182,125.27601,"San Ricardo","osm-id 198492744",,"City (Medium)",07/12/08,04:18:43 AM
5800,8.03917,124.10889,"Pantao Ragat","osm-id 198506317",,"City (Medium)",02/12/08,02:29:43 PM
5400,9.91667,124.28333,"Dagohoy","osm-id 198508671",,"City (Medium)",01/18/08,01:35:32 PM
5398,10.00000,124.31667,"San Miguel","osm-id 198500164",,"City (Medium)",01/18/08,12:43:03 PM
1578,14.63333,121.10000,"Marikina","osm-id 198518477",,"City (Medium)",06/16/08,06:47:32 PM
453,16.26667,121.01667,"Aritao","osm-id 198513809",,"City (Medium)",01/18/08,01:37:11 PM
2319,14.35810,121.32682,"Jalajala","osm-id 198520514",,"City (Medium)",06/06/08,01:25:12 PM
2601,13.96482,121.31715,"Tiaong","osm-id 198512936",,"City (Medium)",07/13/08,07:43:41 PM
3298,11.83333,121.93333,"Libertad / Buruanga","osm-id 198500597",,"City (Medium)",01/18/08,01:22:02 PM
5402,9.86667,124.35000,"Pilar","osm-id 198490820",,"City (Medium)",01/18/08,01:26:43 PM
5940,7.31667,125.50000,"Panabo","osm-id 198509067",,"City (Medium)",01/18/08,01:35:57 PM
2324,14.28490,121.40760,"Santa Cruz","osm-id 292205897",,"City (Medium)",01/29/09,03:55:46 AM
5809,7.90840,123.86440,"Salvador","osm-id 198495249",,"City (Medium)",02/12/08,02:29:26 PM
5396,9.86667,123.93333,"San Isidro","osm-id 198520414",,"City (Medium)",01/18/08,01:38:20 PM
5394,9.91667,123.96667,"Tubigon","osm-id 198497971",,"City (Medium)",01/18/08,12:41:47 PM
193,17.90000,121.66667,"Alcala","osm-id 198530036",,"City (Medium)",01/18/08,01:31:29 PM
5998,7.04970,125.53740,"Talomo","osm-id 325396837",,"City (Medium)",01/29/09,03:55:03 AM
3307,11.82883,122.09333,"Nabas","osm-id 25747777",,"City (Medium)",01/29/09,03:54:58 AM
4401,11.16667,122.85000,"San Rafael","osm-id 198498797",,"City (Medium)",01/18/08,12:42:42 PM
5415,10.10000,124.55000,"President Carlos Polestico Garcia","osm-id 198501361",,"City (Medium)",01/18/08,01:22:44 PM
5435,10.31667,125.16667,"Saint Bernard","osm-id 198490642",,"City (Medium)",01/18/08,01:26:48 PM
2846,13.35000,122.65000,"San Andres","osm-id 198524646",,"City (Medium)",01/18/08,01:39:11 PM
109,17.60000,120.36667,"San Vicente","osm-id 198504802",,"City (Medium)",01/18/08,12:47:54 PM
4561,10.21778,123.55281,"Aloguinsan","osm-id 198506440",,"City (Medium)",01/04/09,05:35:27 PM
4417,10.90000,122.66667,"Pototan","osm-id 198509193",,"City (Medium)",01/18/08,01:36:03 PM
1559,14.62234,121.05023,"Quezon City","osm-id 14446670",,"City (Medium)",01/29/09,03:54:34 AM
4917,7.68333,123.41667,"San Pablo","osm-id 198503186",,"City (Medium)",01/18/08,01:23:56 PM
5422,9.90000,124.51667,"Mabini","osm-id 198515225",,"City (Medium)",01/18/08,01:36:51 PM
429,16.73333,121.50000,"Santiago","osm-id 198523800",,"City (Medium)",01/18/08,01:40:03 PM
5419,10.08333,125.00000,"Padre Burgos","osm-id 198507239",,"City (Medium)",01/18/08,01:21:31 PM
5416,10.18333,124.96667,"Malitbog","osm-id 198530591",,"City (Medium)",01/18/08,01:32:01 PM
517,14.94878,120.08977,"San Antonio","osm-id 339076506",,"City (Medium)",01/30/09,04:39:07 PM
557,14.76667,120.48333,"Samal","osm-id 198532392",,"City (Medium)",04/01/08,04:32:42 PM
29,18.46667,120.75000,"Bangui","osm-id 198513709",,"City (Medium)",01/18/08,01:37:05 PM
5187,11.14623,124.47182,"Matag-ob","osm-id 198492868",,"City (Medium)",10/10/08,05:11:22 AM
203,17.41667,121.40000,"Tabuk","osm-id 198531818",,"City (Medium)",01/18/08,01:30:24 PM
5168,11.16667,123.78333,"Santa Fe","osm-id 198516406",,"City (Medium)",01/18/08,01:36:20 PM
3336,11.70341,122.32996,"Numancia","osm-id 25747754",,"City (Medium)",01/29/09,03:55:01 AM
5148,5.93333,121.03333,"Maimbung","osm-id 198496540",,"City (Medium)",01/18/08,12:41:24 PM
3473,13.98333,124.26667,"Bagamanoc","osm-id 198499128",,"City (Medium)",01/18/08,12:42:24 PM
5233,10.75000,124.91667,"Javier","osm-id 198512628",,"City (Medium)",01/18/08,01:32:33 PM
5155,5.83333,121.08333,"Pata","osm-id 198504677",,"City (Medium)",01/18/08,12:47:58 PM
5150,5.96667,121.18333,"New Panamao","osm-id 198530072",,"City (Medium)",01/18/08,01:31:44 PM
2613,13.88333,121.08333,"San Jose","osm-id 198529841",,"City (Medium)",01/18/08,01:31:36 PM
5696,8.91667,124.80000,"Binuangan","osm-id 198524877",,"City (Medium)",01/18/08,01:39:23 PM
341,16.14808,120.52406,"Sison","osm-id 30917641",,"City (Medium)",01/29/09,03:55:27 AM
5184,10.92568,124.43784,"Isabel","osm-id 198531801",,"City (Medium)",10/10/08,05:04:07 AM
5175,11.00000,123.93333,"San Remigio","osm-id 198508888",,"City (Medium)",01/18/08,01:34:15 PM
5840,7.90552,125.09114,"Valencia","osm-id 319528329",,"City (Medium)",12/17/08,11:33:42 PM
5190,11.18333,124.93333,"Santa Fe","osm-id 198491585",,"City (Medium)",01/18/08,01:24:44 PM
3174,12.60000,121.08333,"Calintaan","osm-id 198501104",,"City (Medium)",01/18/08,01:22:34 PM
5188,11.11667,124.80000,"Pastrana","osm-id 198530977",,"City (Medium)",01/18/08,01:32:07 PM
5174,11.04465,124.00703,"Bogo","osm-id 198515351",,"City (Medium)",01/04/09,05:19:41 PM
5172,11.21292,124.39269,"Villaba","osm-id 198492953",,"City (Medium)",10/10/08,05:13:04 AM
5171,11.11667,123.96667,"Medellin","osm-id 198507062",,"City (Medium)",01/18/08,01:21:23 PM
1864,14.58333,121.11667,"Cainta","osm-id 198527598",,"City (Medium)",04/01/08,04:45:21 PM
2302,14.30011,121.04453,"Carmona","osm-id 198505154",,"City (Medium)",10/23/08,06:02:53 PM
5180,11.04970,124.38565,"Palompon","osm-id 198529457",,"City (Medium)",10/10/08,05:04:47 AM
5178,10.94270,124.02849,"Tabogon","osm-id 198501812",,"City (Medium)",01/04/09,05:29:36 PM
558,14.80000,120.50000,"Orani","osm-id 198532321",,"City (Medium)",04/01/08,04:52:09 PM
2789,13.60000,123.13333,"Gainza","osm-id 198532054",,"City (Medium)",01/18/08,01:30:35 PM
1954,14.49065,120.99549,"Paranaque","osm-id 198498978",,"City (Medium)",11/16/08,12:14:01 AM
2237,14.40472,120.97533,"Molino","osm-id 247427756",,"City (Medium)",04/01/08,04:56:41 PM
3353,11.68333,122.36667,"Kalibo","osm-id 198498501",,"City (Medium)",01/18/08,12:42:53 PM
5112,6.05000,121.01667,"Jolo","osm-id 198526614",,"City (Medium)",01/18/08,01:29:44 PM
3518,13.80000,124.36667,"Gigmoto","osm-id 198492739",,"City (Medium)",01/18/08,12:44:16 PM
5108,6.06667,121.10000,"Patikul","osm-id 198513267",,"City (Medium)",01/18/08,01:37:49 PM
1968,14.47926,120.98082,"Las Pinas","osm-id 198515803",,"City (Medium)",10/28/08,12:09:41 AM
2694,13.68722,122.17095,"General Luna","osm-id 198502053",,"City (Medium)",12/16/08,11:05:47 PM
5083,6.45000,121.96667,"Sumisip","osm-id 198519437",,"City (Medium)",01/18/08,01:38:28 PM
3120,11.50000,119.86667,"Linapacan","osm-id 198494492",,"City (Medium)",01/18/08,12:46:56 PM
3525,13.66667,124.11667,"San Andres","osm-id 198492543",,"City (Medium)",01/18/08,12:45:31 PM
562,14.90000,120.76667,"Calumpit","osm-id 198500798",,"City (Medium)",04/01/08,04:43:14 PM
5779,8.42639,124.50750,"Opol","osm-id 198499916",,"City (Medium)",02/12/08,02:30:09 PM
1924,14.58333,121.23333,"Teresa","osm-id 198492834",,"City (Medium)",04/01/08,04:26:43 PM
462,16.13333,121.18333,"Dupax del Sur","osm-id 198497008",,"City (Medium)",01/18/08,12:41:09 PM
1934,14.53333,121.26667,"Baras","osm-id 198493077",,"City (Medium)",04/01/08,04:47:54 PM
2396,14.11667,121.40000,"Rizal","osm-id 198503369",,"City (Medium)",04/01/08,05:18:01 PM
2869,13.06667,123.05000,"San Pascual","osm-id 198509732",,"City (Medium)",01/18/08,01:33:50 PM
297,16.45000,120.38333,"Caba","osm-id 198509024",,"City (Medium)",01/18/08,01:34:41 PM
4251,10.61667,119.86667,"Araceli","osm-id 198503555",,"City (Medium)",01/18/08,01:24:11 PM
5119,5.98333,121.11667,"Talipaw","osm-id 198514008",,"City (Medium)",01/18/08,01:37:16 PM
5118,5.99938,121.15010,"Kalingalan Caluang","osm-id 198526905",,"City (Medium)",12/17/08,10:39:32 PM
5115,5.99429,120.96028,"Indanan","osm-id 198520919",,"City (Medium)",12/12/08,09:43:31 AM
5670,9.41667,125.61667,"Kitcharao / Jabonga","osm-id 198490581",,"City (Medium)",01/18/08,01:25:51 PM
5097,6.19060,120.97240,"Hadji Panglima Tahil (Marunggas)","osm-id 198491083",,"City (Medium)",12/12/08,09:43:16 AM
5120,5.98333,121.25000,"Pananaw","osm-id 198490790",,"City (Medium)",01/18/08,01:26:41 PM
4412,11.00000,122.65000,"Dingle","osm-id 198529496",,"City (Medium)",01/18/08,01:31:11 PM
5240,11.21667,125.36667,"Balangiga","osm-id 198496872",,"City (Medium)",01/18/08,12:41:13 PM
5239,11.20000,125.26667,"Lawa-an","osm-id 198503918",,"City (Medium)",01/18/08,01:24:23 PM
5434,10.33333,125.23333,"Hinundayan","osm-id 198508636",,"City (Medium)",01/18/08,01:35:30 PM
5716,8.51667,124.78333,"Tagoloan","osm-id 198513073",,"City (Medium)",01/18/08,01:37:47 PM
3198,12.40932,121.99251,"Odiongan","osm-id 198500517",,"City (Medium)",10/13/08,01:34:02 PM
3195,12.33333,121.95000,"Ferrol","osm-id 198513437",,"City (Medium)",01/18/08,01:37:59 PM
1791,14.54996,121.07014,"Pateros","osm-id 198518211",,"City (Medium)",09/23/08,10:00:08 AM
5232,10.88333,124.98333,"Mayorga","osm-id 198493259",,"City (Medium)",01/18/08,12:46:02 PM
5231,10.85000,124.95000,"MacArthur","osm-id 198502442",,"City (Medium)",01/18/08,01:23:33 PM
3190,12.57764,122.26935,"Romblon","osm-id 198497272",,"City (Medium)",01/28/09,03:43:40 AM
3192,12.50000,122.10000,"San Agustin","osm-id 198504446",,"City (Medium)",01/18/08,01:24:38 PM
5236,10.66667,125.05000,"Abuyog","osm-id 198525968",,"City (Medium)",01/18/08,01:29:29 PM
5235,10.67556,124.80255,"Baybay","osm-id 198532207",,"City (Medium)",10/10/08,05:25:35 AM
3191,12.53333,122.05000,"San Andres","osm-id 198500467",,"City (Medium)",01/18/08,01:22:14 PM
3893,11.41667,124.35000,"San Isidro","osm-id 198501040",,"City (Medium)",01/18/08,01:22:31 PM
635,15.35000,121.05000,"General Tinio","osm-id 198507798",,"City (Medium)",01/18/08,01:21:34 PM
5255,11.16667,125.61667,"Salcedo","osm-id 198525843",,"City (Medium)",01/18/08,01:28:53 PM
6005,7.10000,126.06667,"Banaybanay","osm-id 198492730",,"City (Medium)",01/18/08,12:44:18 PM
2641,14.01172,122.32325,"Calauag","osm-id 198514162",,"City (Medium)",06/27/08,10:57:32 PM
4397,11.20000,122.60000,"Bingawan","osm-id 198504380",,"City (Medium)",01/18/08,01:24:40 PM
5218,10.61302,123.75383,"Asturias","osm-id 198495461",,"City (Medium)",01/04/09,05:33:02 PM
4586,9.86484,123.39643,"Badian","osm-id 198491202",,"City (Medium)",01/04/09,05:39:04 PM
582,14.63414,120.54163,"Pilar","osm-id 198497378",,"City (Medium)",08/28/08,06:13:46 PM
4581,9.93758,123.39302,"Moalboal","osm-id 198527169",,"City (Medium)",07/27/08,07:33:39 PM
5873,7.73333,124.11667,"Pagayawan","osm-id 198532292",,"City (Medium)",01/18/08,01:30:49 PM
5273,11.02884,125.72621,"Guiuan","osm-id 198523987",,"City (Medium)",07/14/08,11:53:29 PM
186,17.80000,121.23333,"Conner","osm-id 198503119",,"City (Medium)",01/18/08,01:23:50 PM
5397,9.96667,124.20000,"Danao","osm-id 198530153",,"City (Medium)",01/18/08,01:31:45 PM
5241,11.23333,125.50000,"General MacArthur","osm-id 198532559",,"City (Medium)",01/18/08,01:31:02 PM
5202,11.06667,124.95000,"Tabontabon","osm-id 198497158",,"City (Medium)",01/18/08,12:41:01 PM
4745,7.98333,117.06667,"Balabac","osm-id 198531689",,"City (Medium)",01/18/08,01:30:15 PM
5195,11.13333,124.96667,"Palo","osm-id 198491081",,"City (Medium)",01/18/08,01:26:27 PM
3235,12.40000,122.63333,"Cajidiocan","osm-id 198506725",,"City (Medium)",01/18/08,01:21:15 PM
3179,12.45000,121.11667,"San Jose","osm-id 198492760",,"City (Medium)",01/18/08,12:44:07 PM
5689,9.15000,126.05000,"Lanuza","osm-id 198531736",,"City (Medium)",01/18/08,01:30:25 PM
5203,11.03333,125.01667,"Tolosa","osm-id 198520620",,"City (Medium)",01/18/08,01:38:12 PM
3176,12.61667,121.45000,"Roxas","osm-id 198513980",,"City (Medium)",01/18/08,01:37:13 PM
3175,12.48333,121.00000,"Rizal","osm-id 198513501",,"City (Medium)",01/18/08,01:37:57 PM
2861,13.31667,123.48333,"Polangui","osm-id 198514566",,"City (Medium)",01/18/08,01:37:31 PM
5200,10.91804,124.69595,"Albuera","osm-id 198495097",,"City (Medium)",10/10/08,05:24:33 AM
5198,10.90882,124.53723,"Merida","osm-id 198519632",,"City (Medium)",10/10/08,05:02:12 AM
5196,11.11667,125.00000,"Tanauan","osm-id 198506709",,"City (Medium)",01/18/08,01:21:18 PM
5709,8.65000,124.78333,"Jasaan","osm-id 198493648",,"City (Medium)",01/18/08,12:46:09 PM
5216,10.66667,123.95000,"Catmon","osm-id 198495926",,"City (Medium)",01/18/08,12:47:07 PM
5215,10.71667,123.86667,"Tuburan","osm-id 198530879",,"City (Medium)",01/18/08,01:32:11 PM
3587,12.66667,123.93333,"Bulan","osm-id 198519139",,"City (Medium)",01/18/08,01:38:31 PM
5228,10.80586,124.56922,"Pilar","osm-id 198498579",,"City (Medium)",07/15/08,12:20:28 AM
601,14.39235,120.85348,"Tanza","osm-id 198523263",,"City (Medium)",06/25/08,01:10:01 PM
5226,10.62934,124.41894,"Poro","osm-id 198528383",,"City (Medium)",07/20/08,06:33:58 AM
3188,12.61667,122.06667,"Calatrava","osm-id 198526244",,"City (Medium)",01/18/08,01:29:22 PM
5208,10.95000,125.01667,"Dulag","osm-id 198503038",,"City (Medium)",01/18/08,01:23:46 PM
493,15.32273,120.65483,"Concepcion","osm-id 198506065",,"City (Medium)",01/15/09,01:59:25 PM
2513,13.88333,120.65000,"Calatagan","osm-id 198505448",,"City (Medium)",01/18/08,12:48:08 PM
2720,13.73333,122.45000,"Buenavista","osm-id 198530206",,"City (Medium)",01/18/08,01:31:39 PM
73,18.38333,122.23333,"Santa Ana","osm-id 198531390",,"City (Medium)",01/18/08,01:30:02 PM
3182,12.33333,121.20000,"Magsaysay","osm-id 198512651",,"City (Medium)",01/18/08,01:37:38 PM
5211,10.83515,124.02608,"Borbon","osm-id 198504893",,"City (Medium)",01/04/09,05:20:39 PM
5715,8.48389,124.47972,"El Salvador","osm-id 198513339",,"City (Medium)",02/12/08,02:29:40 PM
5714,8.56667,124.78333,"Villanueva","osm-id 198492720",,"City (Medium)",01/18/08,12:44:17 PM
5327,10.45000,124.80000,"Hindang","osm-id 198490582",,"City (Medium)",01/18/08,01:25:52 PM
5704,8.58815,124.43938,"Laguindingan","osm-id 198493698",,"City (Medium)",01/21/09,12:00:47 PM
5735,8.80000,126.13333,"Marihatag","osm-id 198492554",,"City (Medium)",01/18/08,12:45:25 PM
